run_id,FT_kero_selectivity,E-biofuel_option,ReFuel_blinding_mandates,ReFuel_sustainability_criteria,ENSPRESO_scenario,Energy_crops_impacts,Geological_sequestration,NATURAL Carbon sequestrationSNBC 3 (MTCO2eq),Aviation_non_CO2_effects,Scenario_name_for_outputs,Total cost (M€),WOOD_TO_FT (TWh),BioFT Biomass needs (TWh),% bioFT,E_WOOD_TO_FT (TWh),e-bioFT Biomass needs (TWh),e-bioFT H2 needs (TWh),% e-bioFT,CO2_TO_FT (TWh),e-FT H2 needs (TWh),% e-FT,FT Biomass needs (TWh),FT H2 needs (TWh),FT CO2 needs (MtCO2),WOOD_TO_METHANOL (TWh),BioMeOH Biomass needs (TWh),% bioMeOH,E_WOOD_TO_METHANOL (TWh),e-bioMeOH biomass needs (TWh),e-bioMeOH H2 needs (TWh),% e-bioMeOH,CO2_TO_METHANOL (TWh),e-MeOH H2 needs (TWh),% e-MeOH,MeOH Biomass needs (TWh),MeOH H2 needs (TWh),MeOH CO2 needs (MtCO2),WOOD_TO_SNG (TWh),BioSNG Biomass needs (TWh),% bioSNG,E_WOOD_TO_SNG (TWh),e-bioSNG Biomass needs (TWh)²,e-bioSNG H2 needs (TWh),% e-bioSNG,CO2_TO_SNG (TWh),e-SNG H2 needs (TWh),% e-SNG,SNG Biomass needs (TWh),SNG H2 needs (TWh),SNG CO2 needs (MtCO2),Total electricity production (TWh),Biofuels (TWh),E-biofuels (TWh),E-fuels (TWh),BIOMASS_TO_HVC,HVC biomass needs (TWh),Sustain. fuels Biomass needs (TWh),Total Fuels + HVC biomass needs (TWh),Sustain. fuels H2 needs (TWh),Sustain. fuels CO2 needs (MtCO2),Bio- share (%),E-bio- share (%),E- share (%),Biomass energy contribution of sustain. fuel (%) - relative H2,Biomass energy contribution of sustain. fuel (%) - relative élec,Biomass carbon contribution of sustain. fuel (%),DAC (MtCO2eq),DAC CO2 (%),PCC CO2 (%),CO2_CAPTURED ,CCU CO2_TO_FT (MtCO2eq),CCU CO2_TO_METHANE (MtCO2eq),CCU CO2_TO_METHANOL (MtCO2eq),CCU (MtCO2eq),CCS SEQUESTRATION (MtCO2eq),CCU/CCUS (%),CO2 POINT SOURCE CAPTURE (MtCO2eq),CO2_to_be_CAPTURED,GHG CONSTRUCTION (MtCO2eq),CO2_DECENTRALISED ATMOSPHERE (MtCO2eq),CO2_CENTRALISED ATMOSPHERE (MtCO2eq),OTHER GHG ATMOSPHERE (MtCO2eq),Total Circulating CO2 (MtCO2e),Total sequestered CO2 (MtCO2e),GCCI (Global carbon circularity indicator),Agri residues used (TWh),Forest residues used (TWh),MSW used (TWh),Grassy energy crops used (TWh),Woody energy crops used (TWh),Total Biomass feedstock used (TWh),Biomethane (TWh),BIOMASS_SEQUESTRATION needs (MtCO2),BIOMASS_SEQUESTRATION needs (TWh),Biomass feedstock used for energy (TWh),Carbon dual global (€/tCO2),Shadow price agri residues (€/MWh),Shadow price forest residues (€/MWh),Shadow price MSW (€/MWh),Shadow price grassy crops (€/MWh),Shadow price woody crops (€/MWh),Narrative,Selection_method,h2_norm,co2_norm,h2_co2_score,Total cost (B€)
304,HIGH,Yes,No,No,HIGH,LOW,HIGH,38,Updated,E-biofuelYes_ReFuel_blindingNo_ReFuel_sustainabilityNo_ENSPRESOHIGH_Energy_cropsLOW_GeologicalHIGH_SNBC_3_Updated_88,223661.600539,1.6159e-05,3.1255319148936165e-05,1.902252033586432e-07,84.94662132,66.25836462960001,50.967972792000005,0.9999992768875956,4.5267e-05,6.2106324e-05,5.328872009676157e-07,66.25839588491915,50.96803489832401,1.1887e-05,1.949e-06,4.255458515283842e-06,2.2412244222121397e-07,8.696129463,6.574273874028,4.69590991002,0.9999988574240196,7.987e-06,1.03086843223e-05,9.184535382354213e-07,6.574278129486515,4.695920218704322,2.017e-06,3.9188e-05,7.125090909090908e-05,2.5355401640034636e-06,15.455435584,9.520548319744,7.990460196928,0.9999968785189427,9.056e-06,1.0867199999999998e-05,5.859408932636359e-07,9.520619570653091,7.990471064128,1.829e-06,844.2998745799999,5.7295999999999995e-05,109.09818636700001,6.231e-05,56.11886574067946,134.388714171,82.35329358505876,216.74200775605877,63.65442618115633,1.5733e-05,5.251777237877534e-07,0.999998903686002,5.71136274246281e-07,0.5640338313407083,0.49246744902682793,0.9999994972561634,4.166e-06,9.177524434114673e-08,0.9999999082247557,45.39350485970001,1.1887e-05,1.829e-06,2.017e-06,1.5733e-05,45.393492302,3.4659141099800663e-07,45.39350069370001,50.43722299300001,,162.502997233,51.129874636,71.976120752,336.046215614,102.59743484932,3.2753861352141524,77.952948741,347.41040162,40.33300009,87.75000043499999,10.611426536,564.057777422,72.731401486,19.20394254732,50.536690914,513.5210865079999,98.61580656932395,24.77285714285714,26.41257142857143,33.127,20.1675,2.8285,1 - Optimistic,Exact least-constrained combination + minimum total cost,,,,223.661600539
338,HIGH,No,Yes,Yes,MED,MED,MED,38,Updated,E-biofuelNo_ReFuel_blindingYes_ReFuel_sustainabilityYes_ENSPRESOMED_Energy_cropsMED_GeologicalMED_SNBC_3_Updated_122,236252.354834,5.6339e-05,0.00010897292069632494,6.632273032184676e-07,0.0,0.0,0.0,0.0,84.946687751,116.546855594372,0.9999993367726968,0.00010897292069632494,116.546855594372,22.307000203,7.391e-06,1.6137554585152837e-05,8.499213737058719e-07,0.0,0.0,0.0,0.0,8.696091129000001,11.223896117041996,0.9999991500786263,1.6137554585152837e-05,11.223896117041996,2.19576301,4.116e-05,7.483636363636363e-05,3.7133156392122992e-06,0.0,0.0,0.0,0.0,11.084392268,13.3012707216,0.9999962866843608,7.483636363636363e-05,13.3012707216,2.239047238,1059.96114089,0.00010489,0.0,104.727171148,56.118810503218725,134.388581893,0.00019994683891784142,134.3887818398389,141.07202243301398,26.741810451000003,1.0015537877824779e-06,0.0,0.9999989984462123,1.4173367055880213e-06,1.0630029058492751e-06,2.8412280855876098e-06,1.2328e-05,2.429442503368558e-07,0.9999997570557497,50.74415213739999,22.307000203,2.239047238,2.19576301,26.741810451000003,24.002351183,0.5269928517861697,50.7441398094,56.382377566,,50.938582629,36.489072112,67.10896517500001,210.918997482,101.06934485682,2.0868740940272112,49.034953159,174.255479037,31.515361787,30.638889277,9.166666633,294.61134989299995,37.070879968,39.06699367382,102.807878089,191.80347180399997,136.4044708708566,39.22128571428571,38.86914285714286,45.869,36.82550000000001,12.245,2 - Reference,Exact MED/MED/MED + ReFuelEU constraints + no e-biofuel,,,,236.252354834
284,HIGH,Yes,No,Yes,MED,MED,MED,38,Updated,E-biofuelYes_ReFuel_blindingNo_ReFuel_sustainabilityYes_ENSPRESOMED_Energy_cropsMED_GeologicalMED_SNBC_3_Updated_68,234213.391013,0.000126718,0.00024510251450676984,1.4917307449528273e-06,84.94600118999999,66.2578809282,50.96760071399999,0.9999886490942285,0.000837507,0.0011490596040000002,9.859175026540883e-06,66.25812603071451,50.968749773603996,0.000219929,2.2878e-05,4.995196506550218e-05,2.9200547180734306e-07,78.347701912,59.230862645472,42.30775903248001,0.9999981493939434,0.000122113,0.00015760916096769999,1.558600584789321e-06,59.23091259743707,42.30791664164097,3.0834e-05,1.4423e-05,2.6223636363636363e-05,5.415392674779606e-07,26.633180738,16.406039334608,13.769354441546,0.9999939809654476,0.000145884,0.00017506079999999997,5.4774952850831865e-06,16.406065558244364,13.769529502346,2.9469e-05,1025.050167371,0.000164019,189.92688384,0.001105504,0.0009164650483594826,0.002194673,141.89510418639594,141.89729885939593,107.04619591759096,0.000280232,8.635844507292126e-07,0.9999933157724248,5.820643124387707e-06,0.5699942280655078,0.4985363867863432,0.9999948028594562,5.1508e-05,2.1459564308470236e-06,0.9999978540435692,24.002351240499998,0.000219929,2.9469e-05,3.0834e-05,0.000280232,24.002109983,1.1675170576340036e-05,24.0022997325,26.669221925,,50.938703014,39.653660701,67.108963237,184.37054887699998,100.86554276934001,1.827884367792674,49.034968305,174.255492237,31.515362402,30.638889041,9.166671217,294.611383202,37.070509697,38.863432786340006,102.272191543,192.339191659,162.9036352033056,48.78685714285714,48.61171428571429,54.819,45.6865,21.5785,3 - E-bio trade-off + regulation adaptation,Exact reference-like setup with e-bio ON and no blending mandate,,,,234.21339101299998
129,LOW,No,Yes,Yes,LOW,HIGH,LOW,38,Updated,E-biofuelNo_ReFuel_blindingYes_ReFuel_sustainabilityYes_ENSPRESOLOW_Energy_cropsHIGH_GeologicalLOW_SNBC_3_Updated_129,256377.428198,9.3474e-05,0.00018080077369439073,7.335880790461598e-07,0.0,0.0,0.0,0.0,127.420188657,174.82049883740402,0.9999992664119209,0.00018080077369439073,174.82049883740402,33.460541541,2.7468e-05,5.997379912663755e-05,5.331548334574124e-07,0.0,0.0,0.0,0.0,51.519715534,66.49561585259816,0.9999994668451666,5.997379912663755e-05,66.49561585259816,13.008728172,8.5911e-05,0.00015620181818181816,6.187446711406535e-05,0.0,0.0,0.0,0.0,1.388386653,1.6660639836,0.999938125532886,0.00015620181818181816,1.6660639836,0.280454104,1249.729395214,0.000206853,0.0,180.32829084399998,9.935731872406766,23.793250506,0.0003969763910028464,23.793647482391002,242.98217867360216,46.749723816999996,1.1470899089259216e-06,0.0,0.9999988529100908,1.6337648489440463e-06,1.2253241371809107e-06,3.2267686202856503e-06,22.208916441,0.38455562812451666,0.6154443718754833,57.75215551860001,33.460541541,0.280454104,13.008728172,46.749723816999996,11.002525765,0.8094874945195343,35.54323907760001,39.492487864,,37.18584949,3.223763952,63.380471629,143.282572935,98.20293606676,1.4590457136392958,25.873492484,109.009984853,18.386160152,0.0,0.0,153.26963748900002,8.063430105,49.200410301759995,129.474763952,23.79487353700003,557.5345554665946,190.3267142857143,192.8132857142857,188.073,174.531,181.355,4 - H2 reliance,Highest combined normalized H2 and CO2 needs,1.0,1.0,1.0,256.377428198
56,LOW,Yes,No,Yes,HIGH,HIGH,MED,38,Updated,E-biofuelYes_ReFuel_blindingNo_ReFuel_sustainabilityYes_ENSPRESOHIGH_Energy_cropsHIGH_GeologicalMED_SNBC_3_Updated_56,228532.940452,9.6846e-05,0.00018732301740812378,7.600528004889889e-07,127.419794611,99.38743979658,76.4518767666,0.9999976429777411,0.000203486,0.00027918279200000003,1.5969694583183858e-06,99.38762711959741,76.452155949392,5.343500000000001e-05,9.522e-06,2.0790393013100436e-05,1.0949008247284463e-06,8.696631342,6.574653294552,4.69618092468,0.9999946259940197,3.7214e-05,4.80314734406e-05,4.2791051555812226e-06,6.574674084945014,4.6962289561534405,9.396e-06,4.6958e-05,8.537818181818182e-05,7.392672202162992e-07,63.51958419,39.128063861040005,32.83962502623,0.9999988592665039,2.5501e-05,3.0601199999999994e-05,4.014662758792079e-07,39.12814923922182,32.839655627430005,5.151e-06,930.8963600329998,0.00015332600000000002,199.63601014300002,0.000266201,44.438488823554344,106.417535242,145.09045044376424,251.50798568576425,113.98804053297545,6.798200000000001e-05,7.680261576178687e-07,0.9999978985448663,1.333428976064296e-06,0.5600250715401558,0.48839751729605646,0.9999987669775725,1.7748e-05,7.818192746106502e-07,0.9999992181807253,22.7008985022,5.343500000000001e-05,5.151e-06,9.396e-06,6.798200000000001e-05,22.700844731,2.9946813531012415e-06,22.7008807542,25.223200838,,91.11824951300001,82.756857852,69.50828327,268.60659147300004,102.74976206774001,2.6141821262409866,77.952949024,347.410401909,40.333000238,0.0,0.0,465.696351171,65.963687496,42.048917336740004,110.655045623,355.04130554799997,107.1698624177838,27.85857142857143,29.55714285714286,36.016,33.548,34.86,5 - Biomass reliance,Highest total biomass needs (tie-breaker: biomass sequestration needs),,,,228.53294045200002
